system:index,index,threshold_type,glide_index,dfo_country,dfo_other_country,dfo_centroid_x,dfo_centroid_y,dfo_began,dfo_ended,dfo_validation,dfo_dead,dfo_displaced,dfo_cause,dfo_severity,gfd_area,gfd_exp_ghsl_ts,gfd_exp_ghsl_2000,gfd_exp_ghsl_2015,Errors,dif 2000,dif 2015,error 2000,dfo_began_uk,dfo_ended_uk,Unnamed: 25,overlapping_events
DFO_1641_From_20000918_to_20001021,1641,otsu,0,India,0,88.5453,24.084064,9/18/00,10/21/00,News,1468,24000000,Heavy rain,2,15273.64,7481712,7481701,12729214,0,11,-5247502,,18/09/2000,21/10/2000,33,
DFO_1747_From_20010708_to_20010810,1747,otsu,0,India,0,84.798732,21.055916,07/08/2001 00:00,08/10/2001 00:00,News,100,2000000,Heavy rain,2,465.08,208434,208434,342831,1,0,-134397,,08/07/2001,10/08/2001,33,
DFO_1789_From_20010820_to_20010911,1789,otsu,0,India,0,83.051328,26.755588,8/20/01,09/11/2001 00:00,News,65,300000,Heavy rain,1,4464.14,1701849,1701849,3900982,1,0,-2199133,,20/08/2001,11/09/2001,22,5
DFO_1791_From_20010907_to_20010924,1791,std,0,India,0,84.869961,26.532079,09/07/2001 00:00,9/24/01,News,146,30000,Heavy rain,1,4077.14,250633,250633,2000839,1,0,-1750206,,07/09/2001,24/09/2001,17,4
DFO_1908_From_20020418_to_20020429,1908,std,0,Bangladesh,0,91.52004,24.981838,4/18/02,4/29/02,News,0,0,Dam,1,1.47,0,0,0,1,0,0,,18/04/2002,29/04/2002,11,
DFO_1974_From_20020621_to_20020828,1974,std,0,India,Bangledesh,89.269578,25.841781,6/21/02,8/28/02,News,503,15000000,Heavy rain,1,27063.5,7191176,7191183,16475063,0,-7,-9283887,,21/06/2002,28/08/2002,68,8
DFO_1999_From_20020721_to_20020815,1999,otsu,0,Nepal,0,85.306497,27.696051,7/21/02,8/15/02,News,380,250000,Heavy rain,1,33386.67,16541422,16541395,31572951,0,27,-15031529,,21/07/2002,15/08/2002,25,7
DFO_2248_From_20030611_to_20031010,2248,std,0,Bangladesh,India,90.853814,26.170616,06/11/2003 00:00,10/10/2003 00:00,News,600,9500000,Heavy rain,2,79213.43,16822143,16822144,37057874,0,-1,-20235731,,11/06/2003,10/10/2003,121,"10, 11, 12, 13"
DFO_2257_From_20030619_to_20030703,2257,std,0,Bangladesh,0,91.932656,21.923872,6/19/03,07/03/2003 00:00,News,55,20000,Heavy rain,1,1262.34,231399,231399,253826,1,0,-22427,,19/06/2003,03/07/2003,14,"9, 11"
DFO_2276_From_20030702_to_20030901,2276,std,0,Burma,0,95.503476,20.574716,07/02/2003 00:00,09/01/2003 00:00,News,0,0,Heavy rain,1,10302.48,1112750,1112750,1708871,1,0,-596121,,02/07/2003,01/09/2003,61,"9, 10, 12, 13"
DFO_2279_From_20030715_to_20030901,2279,std,0,Pakistan,India,72.2101,28.731898,7/15/03,09/01/2003 00:00,News,285,900000,Heavy rain,1,37741.14,3564964,3564964,13349633,1,0,-9784669,,15/07/2003,01/09/2003,48,"9, 11, 13"
DFO_2338_From_20030827_to_20031020,2338,std,0,India,0,85.893641,20.625759,8/27/03,10/20/03,News,67,3000000,Heavy rain,1,8236.7,3757250,3757250,5488581,1,0,-1731331,,27/08/2003,20/10/2003,54,"9, 11, 12"
DFO_2473_From_20040414_to_20040503,2473,std,0,Bangladesh,India,91.694661,24.894242,4/14/04,05/03/2004 00:00,News,12,50000,Heavy rain,1,10032.44,1543959,1543959,3603254,1,0,-2059295,,14/04/2004,03/05/2004,19,
