,Branched Model,Merged Model
average_rmse,0.14040125533938408,0.13059717789292336
average_mae,0.20508844032883644,0.17961285263299942
average_psnr,17.087574005126953,17.696845054626465
average_ssim,0.7194447815418243,0.8092375248670578
average_ssim_struct,0.9155298471450806,0.9347912818193436
average_loss,0.070012167096138,0.05678755696862936
confusion_matrices,"{0.0: array([[      0., 2344219.],
       [      0.,   92365.]]), 0.05: array([[2036447.,  307772.],
       [   7708.,   84657.]]), 0.1: array([[2150408.,  193811.],
       [  13598.,   78767.]]), 0.15000000000000002: array([[2205106.,  139113.],
       [  18822.,   73543.]]), 0.2: array([[2237923.,  106296.],
       [  23466.,   68899.]]), 0.25: array([[2260310.,   83909.],
       [  27637.,   64728.]]), 0.30000000000000004: array([[2276706.,   67513.],
       [  31674.,   60691.]]), 0.35000000000000003: array([[2288967.,   55252.],
       [  35575.,   56790.]]), 0.4: array([[2298882.,   45337.],
       [  39264.,   53101.]]), 0.45: array([[2306791.,   37428.],
       [  42908.,   49457.]]), 0.5: array([[2313332.,   30887.],
       [  46586.,   45779.]]), 0.55: array([[2318949.,   25270.],
       [  50127.,   42238.]]), 0.6000000000000001: array([[2323798.,   20421.],
       [  53841.,   38524.]]), 0.65: array([[2327842.,   16377.],
       [  57516.,   34849.]]), 0.7000000000000001: array([[2331425.,   12794.],
       [  61290.,   31075.]]), 0.75: array([[2334425.,    9794.],
       [  65235.,   27130.]]), 0.8: array([[2337206.,    7013.],
       [  69357.,   23008.]]), 0.8500000000000001: array([[2339540.,    4679.],
       [  73810.,   18555.]]), 0.9: array([[2341457.,    2762.],
       [  78744.,   13621.]]), 0.9500000000000001: array([[2.343197e+06, 1.022000e+03],
       [8.496200e+04, 7.403000e+03]]), 1.0: array([[2344219.,       0.],
       [  92365.,       0.]])}","{0.0: array([[      0., 2344219.],
       [      0.,   92365.]]), 0.05: array([[2147580.,  196639.],
       [   4900.,   87465.]]), 0.1: array([[2200953.,  143266.],
       [   8453.,   83912.]]), 0.15000000000000002: array([[2228110.,  116109.],
       [  11622.,   80743.]]), 0.2: array([[2246188.,   98031.],
       [  14732.,   77633.]]), 0.25: array([[2259908.,   84311.],
       [  17637.,   74728.]]), 0.30000000000000004: array([[2270945.,   73274.],
       [  20636.,   71729.]]), 0.35000000000000003: array([[2280333.,   63886.],
       [  23552.,   68813.]]), 0.4: array([[2288472.,   55747.],
       [  26613.,   65752.]]), 0.45: array([[2296096.,   48123.],
       [  30037.,   62328.]]), 0.5: array([[2302404.,   41815.],
       [  33228.,   59137.]]), 0.55: array([[2308131.,   36088.],
       [  36674.,   55691.]]), 0.6000000000000001: array([[2313299.,   30920.],
       [  40160.,   52205.]]), 0.65: array([[2318040.,   26179.],
       [  43784.,   48581.]]), 0.7000000000000001: array([[2322565.,   21654.],
       [  47731.,   44634.]]), 0.75: array([[2326905.,   17314.],
       [  52061.,   40304.]]), 0.8: array([[2331017.,   13202.],
       [  56911.,   35454.]]), 0.8500000000000001: array([[2334890.,    9329.],
       [  62628.,   29737.]]), 0.9: array([[2338426.,    5793.],
       [  69606.,   22759.]]), 0.9500000000000001: array([[2341732.,    2487.],
       [  78493.,   13872.]]), 1.0: array([[2344219.,       0.],
       [  92365.,       0.]])}"
accuracy_scores,"{0.0: 0.03790757880705118, 0.05: 0.870523651144389, 0.1: 0.9148771394706687, 0.15000000000000002: 0.9351817954973027, 0.2: 0.9467442944712762, 0.25: 0.9542203346980855, 0.30000000000000004: 0.9592925998036596, 0.35000000000000003: 0.9627236327579923, 0.4: 0.9652788494055612, 0.45: 0.9670292507871676, 0.5: 0.9682042564508344, 0.55: 0.969056268940451, 0.6000000000000001: 0.969522085017385, 0.65: 0.9696735265437186, 0.7000000000000001: 0.9695951381113888, 0.75: 0.9692073000561442, 0.8: 0.9686569393872734, 0.8500000000000001: 0.9677872792401165, 0.9: 0.9665490703378172, 0.9500000000000001: 0.9647112514897906, 1.0: 0.9620924211929488}","{0.0: 0.03790757880705118, 0.05: 0.9172862499302302, 0.1: 0.937732908038467, 0.15000000000000002: 0.9475778384820717, 0.2: 0.953720864948633, 0.25: 0.9581594560253207, 0.30000000000000004: 0.961458336753422, 0.35000000000000003: 0.9641145144185467, 0.4: 0.9661985796508554, 0.45: 0.9679223043408313, 0.5: 0.9692015543071776, 0.55: 0.9701377009780906, 0.6000000000000001: 0.9708280116753619, 0.65: 0.9712864403607674, 0.7000000000000001: 0.9715236577109593, 0.75: 0.971527761817364, 0.8: 0.9712248787646968, 0.8500000000000001: 0.9704680815436694, 0.9: 0.9690554481191701, 0.9500000000000001: 0.9667649463347047, 1.0: 0.9620924211929488}"
precision_scores,"{0.0: 0.03790757880705118, 0.05: 0.2157256471871345, 0.1: 0.28897049651842777, 0.15000000000000002: 0.3458308253705515, 0.2: 0.3932703558891521, 0.25: 0.4354770346548975, 0.30000000000000004: 0.47339396586689964, 0.35000000000000003: 0.506863497616965, 0.4: 0.5394359901663992, 0.45: 0.5692236864821315, 0.5: 0.5971225836746407, 0.55: 0.6256739941932808, 0.6000000000000001: 0.6535584019000763, 0.65: 0.6802990668801, 0.7000000000000001: 0.708358977865919, 0.75: 0.7347524645217203, 0.8: 0.7663968555344592, 0.8500000000000001: 0.7986141000258242, 0.9: 0.8314106085576513, 0.9500000000000001: 0.8786943620178042, 1.0: nan}","{0.0: 0.03790757880705118, 0.05: 0.3078626136907611, 0.1: 0.36936675206225955, 0.15000000000000002: 0.4101710930038811, 0.2: 0.44194029510884414, 0.25: 0.469872169719377, 0.30000000000000004: 0.4946725240167445, 0.35000000000000003: 0.518564570946277, 0.4: 0.541173178380069, 0.45: 0.5643045332319309, 0.5: 0.5857932482764086, 0.55: 0.60679458263873, 0.6000000000000001: 0.6280300751879699, 0.65: 0.6498261102193686, 0.7000000000000001: 0.6733345401882693, 0.75: 0.6995036273386789, 0.8: 0.7286665570536008, 0.8500000000000001: 0.7611989965699073, 0.9: 0.797107032782292, 0.9500000000000001: 0.8479735925178801, 1.0: nan}"
recall_scores,"{0.0: 1.0, 0.05: 0.9165484761543875, 0.1: 0.8527797325826882, 0.15000000000000002: 0.7962215124776701, 0.2: 0.7459427272235154, 0.25: 0.7007849293563579, 0.30000000000000004: 0.6570778974719862, 0.35000000000000003: 0.6148432847940237, 0.4: 0.57490391382017, 0.45: 0.5354517403778487, 0.5: 0.49563146213392517, 0.55: 0.4572944297082228, 0.6000000000000001: 0.4170843934390732, 0.65: 0.37729659503058516, 0.7000000000000001: 0.3364369620527256, 0.75: 0.2937259784550425, 0.8: 0.24909868456666487, 0.8500000000000001: 0.20088778216857034, 0.9: 0.14746927948898392, 0.9500000000000001: 0.0801494072430033, 1.0: 0.0}","{0.0: 1.0, 0.05: 0.946949602122016, 0.1: 0.9084826503545715, 0.15000000000000002: 0.8741731175228712, 0.2: 0.8405023547880691, 0.25: 0.8090510474746928, 0.30000000000000004: 0.7765820386510042, 0.35000000000000003: 0.7450116386076977, 0.4: 0.7118713798516754, 0.45: 0.6748010610079576, 0.5: 0.6402533427163969, 0.55: 0.6029448384128188, 0.6000000000000001: 0.5652032696367671, 0.65: 0.5259676284306826, 0.7000000000000001: 0.48323499160937583, 0.75: 0.4363557624641369, 0.8: 0.3838466951767444, 0.8500000000000001: 0.3219509554484924, 0.9: 0.24640285822551833, 0.9500000000000001: 0.15018675905375412, 1.0: 0.0}"
